# Solar Time by degree of longitude: 168 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon168W	-11:12	-	lon168W

# Solar Time by degree of longitude: 167 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon167W	-11:08	-	lon167W

# Solar Time by degree of longitude: 166 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon166W	-11:04	-	lon166W

# Solar Time by degree of longitude: 165 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon165W	-11:00	-	lon165W

# Solar Time by degree of longitude: 164 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon164W	-10:56	-	lon164W

# Solar Time by degree of longitude: 163 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon163W	-10:52	-	lon163W

# Solar Time by degree of longitude: 162 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon162W	-10:48	-	lon162W

# Solar Time by degree of longitude: 161 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon161W	-10:44	-	lon161W

# Solar Time by degree of longitude: 160 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon160W	-10:40	-	lon160W

# Solar Time by degree of longitude: 159 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon159W	-10:36	-	lon159W

# Solar Time by degree of longitude: 158 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon158W	-10:32	-	lon158W

# Solar Time by degree of longitude: 157 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon157W	-10:28	-	lon157W

# Solar Time by degree of longitude: 156 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon156W	-10:24	-	lon156W

# Solar Time by degree of longitude: 155 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon155W	-10:20	-	lon155W

# Solar Time by degree of longitude: 154 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon154W	-10:16	-	lon154W

# Solar Time by degree of longitude: 153 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon153W	-10:12	-	lon153W

# Solar Time by degree of longitude: 152 W
# Zone	NAME		STDOFF	RULES	FORMAT	[UNTIL]
Zone	solar/lon152W	-10:08	-	lon152W

# Solar Time by degree of longitude: 151 W
